ID,NAME_CAP,NAME,SHINY,LUCKY,JILLIAN
1,BULBASAUR,bulbasaur,Y,Y,Y
2,IVYSAUR,ivysaur,Y,Y,Y
3,VENUSAUR,venusaur,Y,Y,Y
4,CHARMANDER,charmander,Y,Y,Y
5,CHARMELEON,charmeleon,Y,Y,Y
6,CHARIZARD,charizard,Y,Y,Y
7,SQUIRTLE,squirtle,Y,Y,Y
8,WARTORTLE,wartortle,Y,Y,Y
9,BLASTOISE,blastoise,Y,Y,Y
10,CATERPIE,caterpie,Y,Y,Y
11,METAPOD,metapod,Y,Y,Y
12,BUTTERFREE,butterfree,Y,Y,Y
13,WEEDLE,weedle,Y,Y,Y
14,KAKUNA,kakuna,Y,Y,Y
15,BEEDRILL,beedrill,Y,Y,Y
16,PIDGEY,pidgey,Y,Y,Y
17,PIDGEOTTO,pidgeotto,Y,Y,Y
18,PIDGEOT,pidgeot,Y,Y,Y
19,RATTATA,rattata,Y,Y,Y
20,RATICATE,raticate,Y,Y,Y
21,SPEAROW,spearow,Y,Y,Y
22,FEAROW,fearow,Y,Y,Y
23,EKANS,ekans,Y,Y,Y
24,ARBOK,arbok,Y,Y,Y
25,PIKACHU,pikachu,Y,Y,Y
26,RAICHU,raichu,Y,Y,Y
27,SANDSHREW,sandshrew,Y,Y,Y
28,SANDSLASH,sandslash,Y,Y,Y
29,NIDORAN(FEMALE),nidoran(female),Y,Y,
30,NIDORINA,nidorina,Y,Y,Y
31,NIDOQUEEN,nidoqueen,Y,Y,Y
32,NIDORAN(MALE),nidoran(male),Y,Y,
33,NIDORINO,nidorino,Y,Y,Y
34,NIDOKING,nidoking,Y,Y,Y
35,CLEFAIRY,clefairy,Y,Y,Y
36,CLEFABLE,clefable,Y,Y,Y
37,VULPIX,vulpix,Y,Y,Y
38,NINETALES,ninetales,Y,Y,Y
39,JIGGLYPUFF,jigglypuff,Y,Y,Y
40,WIGGLYTUFF,wigglytuff,Y,Y,Y
41,ZUBAT,zubat,Y,Y,
42,GOLBAT,golbat,Y,Y,Y
43,ODDISH,oddish,Y,Y,Y
44,GLOOM,gloom,Y,Y,Y
45,VILEPLUME,vileplume,Y,Y,Y
46,PARAS,paras,Y,Y,Y
47,PARASECT,parasect,Y,Y,Y
48,VENONAT,venonat,Y,Y,
49,VENOMOTH,venomoth,Y,Y,Y
50,DIGLETT,diglett,Y,Y,Y
51,DUGTRIO,dugtrio,Y,Y,Y
52,MEOWTH,meowth,Y,Y,Y
53,PERSIAN,persian,Y,Y,Y
54,PSYDUCK,psyduck,Y,Y,Y
55,GOLDUCK,golduck,Y,Y,Y
56,MANKEY,mankey,Y,Y,Y
57,PRIMEAPE,primeape,Y,Y,Y
58,GROWLITHE,growlithe,Y,Y,
59,ARCANINE,arcanine,Y,Y,
60,POLIWAG,poliwag,Y,Y,Y
61,POLIWHIRL,poliwhirl,Y,Y,Y
62,POLIWRATH,poliwrath,Y,Y,Y
63,ABRA,abra,Y,Y,Y
64,KADABRA,kadabra,Y,Y,Y
65,ALAKAZAM,alakazam,Y,Y,Y
66,MACHOP,machop,Y,Y,Y
67,MACHOKE,machoke,Y,Y,Y
68,MACHAMP,machamp,Y,Y,Y
69,BELLSPROUT,bellsprout,Y,Y,Y
70,WEEPINBELL,weepinbell,Y,Y,Y
71,VICTREEBEL,victreebel,Y,Y,Y
72,TENTACOOL,tentacool,Y,Y,Y
73,TENTACRUEL,tentacruel,Y,Y,Y
74,GEODUDE,geodude,Y,Y,
75,GRAVELER,graveler,Y,Y,
76,GOLEM,golem,Y,Y,Y
77,PONYTA,ponyta,Y,Y,Y
78,RAPIDASH,rapidash,Y,Y,Y
79,SLOWPOKE,slowpoke,Y,Y,Y
80,SLOWBRO,slowbro,Y,Y,Y
81,MAGNEMITE,magnemite,Y,Y,
82,MAGNETON,magneton,Y,Y,Y
83,FARFETCH'D,farfetch'd,Y,Y,
84,DODUO,doduo,Y,Y,Y
85,DODRIO,dodrio,Y,Y,Y
86,SEEL,seel,Y,Y,
87,DEWGONG,dewgong,Y,Y,
88,GRIMER,grimer,Y,Y,Y
89,MUK,muk,Y,Y,Y
90,SHELLDER,shellder,Y,Y,
91,CLOYSTER,cloyster,Y,Y,Y
92,GASTLY,gastly,Y,Y,Y
93,HAUNTER,haunter,Y,Y,Y
94,GENGAR,gengar,Y,Y,Y
95,ONIX,onix,Y,Y,Y
96,DROWZEE,drowzee,Y,Y,Y
97,HYPNO,hypno,Y,Y,Y
98,KRABBY,krabby,Y,Y,
99,KINGLER,kingler,Y,Y,Y
100,VOLTORB,voltorb,Y,Y,Y
